2025-10-17 16:25:36,864 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:25:42,239 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:25:42,239 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:25:42,492 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:25:42,492 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:25:42,494 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Hans Op de Beeck' (type: CREATORS) | Extra: {}
2025-10-17 16:25:42,494 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Hans Op de Beeck' (type: CREATORS) | Extra: {}
2025-10-17 16:25:42,882 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Hans Op de Beeck' créée avec l'ID 1977 | Extra: {}
2025-10-17 16:25:42,882 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Hans Op de Beeck' créée avec l'ID 1977 | Extra: {}
2025-10-17 16:39:18,830 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:39:18,830 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:39:18,830 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:39:19,115 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:39:19,115 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:39:19,115 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:39:19,180 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: d9a00b9e4e... | Extra: {}
2025-10-17 16:39:19,180 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: d9a00b9e4e... | Extra: {}
2025-10-17 16:39:19,180 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: d9a00b9e4e... | Extra: {}
2025-10-17 16:39:19,731 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
