2025-09-30 12:36:24,452 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:36:24,452 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:36:24,452 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:36:24,455 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:36:24,455 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:36:24,455 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:36:24,458 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 7c00fbfe, durée: 0.09s) | Extra: {}
2025-09-30 12:36:24,458 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 7c00fbfe, durée: 0.09s) | Extra: {}
2025-09-30 12:36:24,458 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 7c00fbfe, durée: 0.09s) | Extra: {}
2025-09-30 12:36:24,461 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 05e9d238) | Extra: {}
2025-09-30 12:36:24,461 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 05e9d238) | Extra: {}
2025-09-30 12:36:24,461 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 05e9d238) | Extra: {}
2025-09-30 12:36:24,513 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:36:24,513 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:36:24,513 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:36:24,521 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 05e9d238, durée: 0.06s) | Extra: {}
2025-09-30 12:36:24,521 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 05e9d238, durée: 0.06s) | Extra: {}
